timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1650707411594,447,Login-1,200,OK,Thread Group of 100 users 1-23,text,true,,5574,123,2,5,https://blazedemo.com/login,434,0,0
1650707411865,757,Perform registration,200,OK,Thread Group of 300 users 3-69,text,true,,6401,518,3,4,https://blazedemo.com/register,317,0,0
1650707411865,317,Perform registration-0,302,Found,Thread Group of 300 users 3-69,text,true,,227,392,3,4,http://blazedemo.com/register,317,0,0
1650707412182,440,Perform registration-1,200,OK,Thread Group of 300 users 3-69,text,true,,6174,126,3,4,https://blazedemo.com/register,427,0,0
1650707411865,924,Login,200,OK,Thread Group of 300 users 3-68,text,true,,5790,403,3,4,https://blazedemo.com/login,307,0,0
1650707411865,307,Login-0,302,Found,Thread Group of 300 users 3-68,text,true,,224,280,3,4,http://blazedemo.com/login,307,0,0
1650707412172,617,Login-1,200,OK,Thread Group of 300 users 3-68,text,true,,5566,123,3,4,https://blazedemo.com/login,611,0,0
1650707411752,1069,Open registration page Request,200,OK,Thread Group of 100 users 1-24,text,true,,6405,252,1,4,https://blazedemo.com/register,390,0,62
1650707411752,390,Open registration page Request-0,302,Found,Thread Group of 100 users 1-24,text,true,,227,126,1,4,http://blazedemo.com/register,390,0,62
1650707412143,678,Open registration page Request-1,200,OK,Thread Group of 100 users 1-24,text,true,,6178,126,1,4,https://blazedemo.com/register,675,0,184
1650707411809,1036,Open registration page Request,200,OK,Thread Group of 300 users 3-70,text,true,,6397,252,3,4,https://blazedemo.com/register,402,0,80
1650707411809,402,Open registration page Request-0,302,Found,Thread Group of 300 users 3-70,text,true,,227,126,3,4,http://blazedemo.com/register,402,0,80
1650707412212,633,Open registration page Request-1,200,OK,Thread Group of 300 users 3-70,text,true,,6170,126,3,4,https://blazedemo.com/register,620,0,191
1650707412622,916,Login,200,OK,Thread Group of 300 users 3-69,text,true,,5794,403,3,4,https://blazedemo.com/login,330,0,0
1650707412622,330,Login-0,302,Found,Thread Group of 300 users 3-69,text,true,,224,280,3,4,http://blazedemo.com/login,330,0,0
1650707412952,586,Login-1,200,OK,Thread Group of 300 users 3-69,text,true,,5570,123,3,4,https://blazedemo.com/login,579,0,0
1650707412845,775,Perform registration,200,OK,Thread Group of 300 users 3-70,text,true,,6401,518,2,3,https://blazedemo.com/register,312,0,0
1650707412845,312,Perform registration-0,302,Found,Thread Group of 300 users 3-70,text,true,,227,392,2,3,http://blazedemo.com/register,312,0,0
1650707413157,463,Perform registration-1,200,OK,Thread Group of 300 users 3-70,text,true,,6174,126,2,3,https://blazedemo.com/register,456,0,0
1650707412822,1001,Perform registration,200,OK,Thread Group of 100 users 1-24,text,true,,6403,518,1,4,https://blazedemo.com/register,310,0,0
1650707412822,310,Perform registration-0,302,Found,Thread Group of 100 users 1-24,text,true,,227,392,1,4,http://blazedemo.com/register,310,0,0
1650707413132,691,Perform registration-1,200,OK,Thread Group of 100 users 1-24,text,true,,6176,126,1,4,https://blazedemo.com/register,684,0,0
1650707412808,1073,Open registration page Request,200,OK,Thread Group of 300 users 3-71,text,true,,6403,252,3,4,https://blazedemo.com/register,416,0,69
1650707412808,416,Open registration page Request-0,302,Found,Thread Group of 300 users 3-71,text,true,,227,126,3,4,http://blazedemo.com/register,416,0,69
1650707413225,656,Open registration page Request-1,200,OK,Thread Group of 300 users 3-71,text,true,,6176,126,3,4,https://blazedemo.com/register,643,0,191
1650707413620,786,Login,200,OK,Thread Group of 300 users 3-70,text,true,,5800,403,3,4,https://blazedemo.com/login,319,0,0
1650707413620,319,Login-0,302,Found,Thread Group of 300 users 3-70,text,true,,224,280,3,4,http://blazedemo.com/login,319,0,0
1650707413939,467,Login-1,200,OK,Thread Group of 300 users 3-70,text,true,,5576,123,3,4,https://blazedemo.com/login,455,0,0
1650707413823,791,Login,200,OK,Thread Group of 100 users 1-24,text,true,,5790,403,1,3,https://blazedemo.com/login,315,0,0
1650707413823,315,Login-0,302,Found,Thread Group of 100 users 1-24,text,true,,224,280,1,3,http://blazedemo.com/login,315,0,0
1650707414138,476,Login-1,200,OK,Thread Group of 100 users 1-24,text,true,,5566,123,1,3,https://blazedemo.com/login,469,0,0
1650707413881,761,Perform registration,200,OK,Thread Group of 300 users 3-71,text,true,,6397,518,2,2,https://blazedemo.com/register,309,0,0
